id,number,suffix,provenance,file_count,artifact_types
V501,501,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V502,502,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V503,503,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V504,504,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V505,505,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V506,506,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V507,507,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V508,508,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V509,509,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V510,510,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V510D,510,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V511,511,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V512,512,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V513,513,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V514,514,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V515,515,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V515B,515,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V516,516,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V517,517,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V518,518,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V519,519,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V520,520,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V521,521,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V522,522,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V523,523,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V524,524,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V525,525,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V526,526,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V527,527,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V528,528,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V529,529,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V530,530,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V531,531,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V532,532,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V533,533,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V534,534,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V535,535,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V535B,535,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V536,536,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V537,537,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V538,538,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V539,539,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V540,540,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V541,541,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V542,542,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V543,543,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V544,544,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V545,545,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V546,546,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V547,547,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V548,548,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V549,549,,MISSING_DIRECT_ARTIFACT,0,
V550,550,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V551,551,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V552,552,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V553,553,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V554,554,,MISSING_DIRECT_ARTIFACT,0,
V555,555,,MISSING_DIRECT_ARTIFACT,0,
V556,556,,MISSING_DIRECT_ARTIFACT,0,
V557,557,,MISSING_DIRECT_ARTIFACT,0,
V558,558,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V559,559,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V560,560,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V561,561,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V562,562,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
